,LOCATION,Latitude,Longitude
108,"LEIN ROAD,NORTH CENTRAL",53.3822749,-6.194623399999999
109,"MC AULEY,NORTH CENTRAL",53.3822749,-6.194623399999999
110,"SPRINGDALE,NORTH CENTRAL",53.386205,-6.188146199999999
111,"FR. COLLINS,NORTH CENTRAL",53.40241839999999,-6.1612456
112,"STANNAWAY,SOUTH CENTRAL",53.31957,-6.3005847
113,"WALKINSTOWN,SOUTH WEST",53.3192335,-6.332096600000001
115,"ST. ANNES,NORTH CENTRAL",53.38839,-6.204957599999999
118,"BALCURRIS PARK,NORTH WEST",53.4003382,-6.269444
119,"BUSHY,SOUTH CENTRAL",53.3498053,-6.2603097
120,"BUSHY,SOUTH CENTRAL",53.3187074,-6.2518027
121,"BUSHY,SOUTH CENTRAL",53.3303683,-6.2951961
122,"DONAGHMEDE,NORTH CENTRAL",53.4142893,-6.1650236
123,"DONNYCARNEY ,NORTHCENTRAL",53.3733733,-6.215782000000001
124,"ELLENFIELD,NORTHCENTRAL",53.3864226,-6.238869999999999
125,"FAIRVIEW,NORTH CENTRAL",53.3740356,-6.230141199999999
126,"FAIRVIEW,NORTH CENTRAL",53.3611382,-6.2075467
127,"FAIRVIEW ,NORTH CENTRAL",53.36393899999999,-6.233694
128,"FARNHAM,NORTH WEST",53.38411199999999,-6.2980821
129,"FR. COLLINS,NORTHWEST",53.40518909999999,-6.1607138
130,"GALTYMORE ,SOUTH CENTRAL",53.3358533,-6.3078827
131,"JOHN PAUL,CENTRAL",53.3655059,-6.2896844
133,"MARTIN SAVAGE,CENTRAL",53.3739946,-6.324658599999999
134,"MILLBROOK,NORTH CENTRAL",52.8362024,-6.9121013
136,"PEARSE PARK,SOUTH CENTRAL",53.3358533,-6.3078827
137,"POPPINTREE,NORTH WEST",53.39907,-6.2817908
138,"POPPINTREE ,NORTH WEST",53.4001641,-6.2853274
139,"RINGSEND,SOUTH EAST",53.3387645,-6.216584
140,"SEAN MOORE,SOUTH EAST",53.3387645,-6.216584
141,"SPRINGDALE ,NORTH CENTRAL",53.3889128,-6.1795333
144,"ST ANNES,NORTH CENTRAL",53.374154,-6.2299737
145,"ST  ANNES,NORTH CENTRAL",53.3905782,-6.1518502
146,"ST ANNES,NORTH CENTRAL",53.3611382,-6.2075467
147,"ST ANNES,NORTH CENTRAL",53.3639587,-6.1983486
148,"ST ANNES,NORTH CENTRAL",53.3750357,-6.1728241
149,"THE RANCH,SOUTH CENTRAL",53.34282959999999,-6.326925999999999
150,"WALKINSTOWN,SOUTH CENTRAL",53.3358533,-6.3078827
151,"ST. ANNES ,NORTH CENTRAL",53.3677844,-6.204991499999999
152,"BRICKFIELDS,SOUTH CENTRAL",54.3666667,-8.4744444
153,"BRICKFIELDS,SOUTH CENTRAL",53.3349744,-6.3320547
154,"DARTRY ,SOUTH EAST",53.1423672,-7.692053599999999
155,"FARNHAM,NORTH WEST",53.390325,-6.298400699999999
156,"JOHN PAUL,CENTRAL",53.3673946,-6.3023348
157,"LE FANU,SOUTH CENTRAL",53.3364723,-6.354389299999999
160,"STANNAWAY,SOUTH CENTRAL",44.427963,-110.588455
163,"DOLPHIN ,SOUTH CENTRAL",53.3337836,-6.325361699999999
164,"BEECHILL,SOUTH EAST",54.2437958,-6.9632011
165,"BRICKFIELDS,SOUTH CENTRAL",53.1423672,-7.692053599999999
166,"BRICKFIELDS,SOUTH CENTRAL",54.9931652,-7.333442199999999
167,"BRICKFIELDS  ,SOUTH CENTRAL",53.1423672,-7.692053599999999
168,"BUNTING ROAD ,SOUTH CENTRAL",53.31981219999999,-6.3269058
169,"BUSHY,SOUTH CENTRAL",53.3169997,-6.212890100000001
172,"DARTRY,SOUTH EAST",53.3091949,-6.2629795
173,"HERBERT ,SOUTH EAST",53.3498053,-6.2603097
174,"IRISHTOWN ,SOUTH EAST",53.3375107,-6.2194009
176,"ST ANNES ,NORTH CENTRAL",33.9199541,-80.3364698
178,"STANNAWAY,SOUTH CENTRAL",53.7744511,-6.480658999999999
181,"DUNDANIEL,NORTHCENTRAL",53.3950328,-6.2254619
182,"OSCAR TRAYNOR,NORTH CENTRAL",53.3961605,-6.227620399999999
184,"ARDMORE,NORTH CENTRAL",53.38572019999999,-6.228975699999999
185,"ASHINGTON ,CENTRAL",53.1423672,-7.692053599999999
186,"BELCAMP,NORTH CENTRAL",39.4737199,-76.24134459999999
189,"CLONTURK ,NORTH WEST",53.37945449999999,-6.2482653
190,"DARNDALE ,NORTHCENTRAL",53.39830850000001,-6.1923102
191,"FAIRVIEW,NORTH CENTRAL",53.3544587,-6.2367474
192,"FAIRVIEW,NORTH CENTRAL",53.3650182,-6.229067199999999
193,"GLIN ROAD,NORTH CENTRAL",53.3996735,-6.205558
195,"JOHN PAUL,CENTRAL",53.3825149,-6.361692
196,"MARINO,NORTH CENTRAL",53.366975,-6.2336683
198,"NORTHWAY,NORTH WEST",53.3900207,-6.3107352
199,"OSCAR TRAYNOR,NORTH CENTRAL",53.3933218,-6.2092489
200,"ROCKFIELD ,NORTH CENTRAL",53.38572019999999,-6.228975699999999
202,"POPPINTREE ,NORTH WEST",53.398428,-6.290788999999999
203,"GREENDALE,NORTH CENTRAL",53.3862576,-6.1559192
204,"ROSEGLEN ,NORTH CENTRAL",53.3862576,-6.1559192
205,"EDENMORE,NORTH CENTRAL",53.3867983,-6.175499299999999
206,"WOODBINE AVE,NORTH CENTRAL",53.3867983,-6.175499299999999
211,"DARTRY ,SOUTH EAST",53.32469870000001,-6.2480316
212,"HERBERT,SOUTH EAST",53.32469870000001,-6.2480316
213,"HERBERT ,SOUTH EAST",53.32714199999999,-6.236055899999999
216,"CHERRY ORCHARD ,SOUTH CENTRAL",53.3375455,-6.3776907
217,"BEECHILL,SOUTH EAST",53.3140453,-6.237099799999999
219,"ALBERT COLLEGE ,NORTH WEST",53.38323010000001,-6.2633996
220,"BRICKFIELDS,SOUTH CENTRAL",53.3305967,-6.3034843
222,"BRICKFIELDS,SOUTH CENTRAL",53.3326265,-6.3058342
224,"BUSHY,SOUTH CENTRAL",53.2991521,-6.3010435
225,"BUSHY ,SOUTH CENTRAL",53.3498053,-6.2603097
226,"FARNHAM,NORTH WEST",53.3498053,-6.2603097
228,"HERBERT,SOUTH EAST",53.1423672,-7.692053599999999
229,"JOHNSTOWN,NORTH WEST",53.2685091,-6.148896199999999
230,"ST ANNES,NORTH CENTRAL",53.3718307,-6.179344599999999
231,"ST ANNES,NORTH CENTRAL",53.3749985,-6.1375215
232,"ST ANNES,NORTH CENTRAL",51.9047233,-8.4762525
233,"ST ANNES  ,NORTH CENTRAL",53.3409467,-6.2581414
235,"BRICKFIELDS,SOUTH CENTRAL",53.3498053,-6.2603097
237,"DONAGHMEDE,NORTH CENTRAL",53.1423672,-7.692053599999999
239,"FR. COLLINS,NORTH CENTRAL",52.1418581,-7.278370600000001
240,"LE FANU,SOUTH CENTRAL",53.34784,-6.346246499999999
250,Kilbogget Park,53.25724222,-6.14066541
251,Cabinteely,53.25761448,-6.13988221
252,Dublin,53.25784232,-6.1392653
253,Ballybrack,53.25709781,-6.13909364
254,Cabinteely,53.256674200000006,-6.14013433
255,Ballybrack,53.25659718,-6.1381495
256,Ballybrack,53.25623775,-6.13876104
257,Ballybrack,53.25605162,-6.13971591
258,"Churchview Road, Dunlaoghaire, Co. Dublin, Ireland, Ireland",53.25566651,-6.14180535
259,Cabinteely,53.25857719,-6.14245445
260,Cabinteely,53.25967787,-6.14394039
261,Dublin,53.26050256,-6.14033014
262,Dublin,53.25988324,-6.1420092
263,Dublin,53.258400699999996,-6.13846868
264,Cabinteely,53.26029719,-6.14451438
265,Ballybrack,53.25437638,-6.13893002
266,Ballybrack,53.25368637,-6.13821656
267,Loughlinstown,53.25181525,-6.13465995
268,Ballybrack,53.25253097,-6.13614053
269,Ballybrack,53.25279094,-6.13725632
270,Shanganagh Park,53.22484031,-6.11720145
271,"Unnamed Road, Cork Little, Co. Dublin, Ireland",53.22447419,-6.11805439
272,"Unnamed Road, Co. Dublin, Ireland",53.22417551,-6.11886978
273,Bray,53.22292939,-6.12123549
274,"Unnamed Road, Cork Little, Co. Dublin, Ireland",53.22336618,-6.11990511
275,"Unnamed Road, Co. Dublin, Ireland",53.22319917,-6.11767352
276,Shanganagh Cliffs,53.24146007,-6.11370116
277,Dublin 18,53.24048412,-6.11324519
278,Shanganagh Castle,53.2265131,-6.119085699999999
279,Rockfield Park(NTPL),53.29586578,-6.17649704
280,Blackrock,53.29517323,-6.17667943
281,Blackrock,53.29586258,-6.17427617
282,Dunedin (jun),53.28703173,-6.15227669
283,Soldiers & Sailors,53.28572971,-6.1583358
284,Meadowvale,53.27550463,-6.16045743
285,Blackrock,53.27467061,-6.15985125
286,Blackrock,53.27402744,-6.15923837
287,Blackrock,53.27320461,-6.15801662
288,Holly Park,53.28258515,-6.17212906
289,Blackrock,53.28188437,-6.17125735
290,Sallynoggin,53.27554954,-6.14929408
291,Dublin,53.27349012,-6.14641875
292,Dublin,53.27362806,-6.14487916
293,Sallynoggin,53.275533499999995,-6.14674062
294,Sallynoggin,53.27492082,-6.14471555
295,Sallynoggin,53.27306026,-6.14417374
296,Sallynoggin,53.27277154,-6.14383042
297,Dublin,53.27254057,-6.14350855
298,Dublin,53.27241225,-6.14477187
299,Sallynoggin,53.27416377,-6.144541200000001
300,Sallynoggin,53.27396809,-6.14432126
301,Sallynoggin,53.27379166,-6.14410669
302,Hyde Park,53.28024221,-6.11062199
303,Dublin,53.28018127,-6.11247808
304,Dublin,53.28016844,-6.10963494
305,Hundson Road,53.28495362,-6.12187922
306,Thomastown Road,53.27065745,-6.13670915
307,Dublin,53.27142097,-6.13538414
308,Loughlinstown Park,53.244175899999995,-6.1253956
309,Ballybrack,53.24354671,-6.12573892
310,Mount Albany,53.28626528,-6.17332131
311,"Balbriggan Town Park,Balbriggan",53.604959624681705,-6.18235291959051
312,"Balheary Reservoir,Swords",53.472709637055104,-6.22301521551813
313,"Town Park,Skerries",53.577113590379106,-6.11107205744599
314,"St. Mologa's Park,Balbriggan",53.617667245890296,-6.18936794084573
315,"Seagrange Park,Dublin 13",53.3966674985382,-6.135351803483781
316,"Grace O'Malley Park,Howth",53.3837670873571,-6.0699395721134195
317,"Broomfiled,Malahide",53.4391582903147,-6.144672088480849
318,"St. Catherine's Park,Rush",53.5381980171844,-6.0959413303066095
319,"Malahide Demesne,Malahide",53.44781773827211,-6.15784132699727
320,"Swords Manor,Brackenstown, Swords",53.4591728031126,-6.249068963113
321,"Balheary Park,Swords",53.467127104569705,-6.2203451071959694
322,"Balheary Park,Swords",53.4660349552282,-6.2161196888938495
323,"Balheary Park,Swords",53.46734863064201,-6.21538771007825
324,"Hartstown Park,Dublin 15",53.3959238366554,-6.41154517827057
325,"Hartstown Park,Dublin 15",53.3953231958123,-6.412928388357151
326,"Hunters Run/lLittlep,Clonee",53.4063916944007,-6.4219107626773795
327,"Skerries Town Park,Skerries",53.57652904557221,-6.109167442011921
328,"Ballist Pit,Skerries",53.575296708008004,-6.11740222324566
329,"St. Molaga's Park,Balbriggan",53.6181394762323,-6.1879636201161805
330,"Seagrange Park,Dublin 13",53.393783117558,-6.13607093712939
331,"St. Mologa's Park,Balbriggan",53.619292403481104,-6.189092406332329
332,"St. Catherines,Dublin 15",53.3662024316463,-6.46774754045766
333,"St. Catherines,Mallow",53.3661733361238,-6.46600738669942
334,"St. Catherine's Park,Rush",53.539337630407196,-6.09450155109758
